Gambar,EAR,MAR,Nose X,Nose Y
327,2.438977429457087,12.522763409588887,477,710
328,2.1804125371928373,15.622973587841082,474,715
329,2.232506911272646,12.008990971522769,469,716
330,2.347876613336689,8.132797330804902,474,710
331,2.1849086336288135,13.747368592582806,477,714
332,2.149778941242917,9.499053823405887,473,714
333,1.8282950436439855,9.898517178460134,481,712
334,2.3392134874642716,21.94461662904657,484,709
335,2.2532164179631735,9.269935332242474,481,710
336,1.980111915734574,19.064964154434335,478,708
337,2.2387292147751383,29.701716639514263,479,712
338,2.1747504127605475,6.773407162142513,479,711
339,2.17183821823685,11.496610087286872,479,708
340,2.265416111659229,12.760611924991661,479,712
341,2.639196597477184,24.204576163484127,475,712
342,2.2292539078590528,inf,479,710
343,1.9542690324476768,10.729583476912723,482,710
344,2.3710752394054313,12.67836487841468,481,708
